CH1,CH1,CH1,,,,CL,CC,
RawData,BaseLine,Diff,,,,8,10,10240
3893,3670,223,,,,,,
3893,3670,223,,,,,,
3892,3670,222,,,,,,
3892,3670,222,,,,,,
3892,3670,222,,,,,,
3892,3670,222,,,,,,
3892,3670,222,,,,,,
3893,3670,223,,,,,,
3893,3670,223,,,,,,
3893,3670,223,,,,,,
3893,3670,223,,,,,,
3892,3670,222,,,,,,
3892,3670,222,,,,,,
3891,3670,221,,,,,,
3890,3670,220,,,,,,
3890,3670,220,,,,,,
3890,3670,220,,,,,,
3891,3670,221,,,,,,
3892,3670,222,,,,,,
3894,3670,224,,,,,,
3895,3670,225,,,,,,
3896,3670,226,,,,,,
3896,3670,226,,,,,,
3897,3670,227,,,,,,
3898,3670,228,,,,,,
3899,3670,229,,,,,,
3899,3670,229,,,,,,
3898,3670,228,,,,,,
3898,3670,228,,,,,,
3898,3670,228,,,,,,
3898,3670,228,,,,,,
3899,3670,229,,,,,,
3899,3670,229,,,,,,
3899,3670,229,,,,,,
3899,3670,229,,,,,,
3899,3670,229,,,,,,
3899,3670,229,,,,,,
3899,3670,229,,,,,,
3899,3670,229,,,,,,
3899,3670,229,,,,,,
3899,3670,229,,,,,,
3899,3670,229,,,,,,
3900,3670,230,,,,,,
3900,3670,230,,,,,,
3901,3670,231,,,,,,
3902,3670,232,,,,,,
3902,3670,232,,,,,,
3902,3670,232,,,,,,
3902,3670,232,,,,,,
3902,3670,232,,,,,,
3903,3670,233,,,,,,
3903,3670,233,,,,,,
3903,3670,233,,,,,,
3903,3670,233,,,,,,
3902,3670,232,,,,,,
3900,3670,230,,,,,,
3900,3670,230,,,,,,
3900,3670,230,,,,,,
3900,3670,230,,,,,,
3900,3670,230,,,,,,
3901,3670,231,,,,,,
3902,3670,232,,,,,,
3905,3670,235,,,,,,
3907,3670,237,,,,,,
3909,3670,239,,,,,,
3913,3670,243,,,,,,
3914,3670,244,,,,,,
3916,3670,246,,,,,,
3919,3670,249,,,,,,
3950,3670,280,,,,,,
3951,3670,281,,,,,,
3953,3670,283,,,,,,
3954,3670,284,,,,,,
3957,3670,287,,,,,,
3959,3670,289,,,,,,
3962,3670,292,,,,,,
3995,3670,325,,,,,,
3996,3670,326,,,,,,
3997,3670,327,,,,,,
3998,3670,328,,,,,,
3999,3670,329,,,,,,
4000,3670,330,,,,,,
4000,3670,330,,,,,,
4000,3670,330,,,,,,
4000,3670,330,,,,,,
4000,3670,330,,,,,,
4000,3670,330,,,,,,
4000,3670,330,,,,,,
4000,3670,330,,,,,,
4000,3670,330,,,,,,
4000,3670,330,,,,,,
4000,3670,330,,,,,,
4000,3670,330,,,,,,
4000,3670,330,,,,,,
4000,3670,330,,,,,,
4000,3670,330,,,,,,
4000,3670,330,,,,,,
4000,3670,330,,,,,,
4000,3670,330,,,,,,
4000,3670,330,,,,,,
4000,3670,330,,,,,,
3999,3670,329,,,,,,
4000,3670,330,,,,,,
4000,3670,330,,,,,,
3999,3670,329,,,,,,
4000,3670,330,,,,,,
4000,3670,330,,,,,,
4000,3670,330,,,,,,
4000,3670,330,,,,,,
4000,3670,330,,,,,,
4000,3670,330,,,,,,
4000,3670,330,,,,,,
4000,3670,330,,,,,,
4000,3670,330,,,,,,
4000,3670,330,,,,,,
4000,3670,330,,,,,,
4000,3670,330,,,,,,
4000,3670,330,,,,,,
4000,3670,330,,,,,,
3999,3670,329,,,,,,
3998,3670,328,,,,,,
3997,3670,327,,,,,,
3996,3670,326,,,,,,
3994,3670,324,,,,,,
3993,3670,323,,,,,,
3992,3670,322,,,,,,
3992,3670,322,,,,,,
3992,3670,322,,,,,,
3993,3670,323,,,,,,
3994,3670,324,,,,,,
3995,3670,325,,,,,,
3996,3670,326,,,,,,
3997,3670,327,,,,,,
3999,3670,329,,,,,,
4037,3670,367,,,,,,
4070,3670,400,,,,,,
4069,3670,399,,,,,,
4066,3670,396,,,,,,
4063,3670,393,,,,,,
4060,3670,390,,,,,,
4059,3670,389,,,,,,
4059,3670,389,,,,,,
4059,3670,389,,,,,,
4059,3670,389,,,,,,
4059,3670,389,,,,,,
4059,3670,389,,,,,,
4059,3670,389,,,,,,
4059,3670,389,,,,,,
4059,3670,389,,,,,,
4059,3670,389,,,,,,
4060,3670,390,,,,,,
4063,3670,393,,,,,,
4067,3670,397,,,,,,
4072,3670,402,,,,,,
4109,3670,439,,,,,,
